iter	RMSE
965	0.7126749098
966	0.7126716757
967	0.7126610953
968	0.7126552177
969	0.7126510931
970	0.7126437486
971	0.7126370512
972	0.7126295519
973	0.7126217297
974	0.7126161003
975	0.7126107771
976	0.7126036902
977	0.7125970472
978	0.712591774
979	0.7125881531
980	0.7125794751
981	0.7125748145
982	0.7125676114
983	0.7125615656
984	0.7125561117
985	0.7125469294
986	0.712542663
987	0.7125372715
988	0.712528867
989	0.712525065
990	0.7125192701
991	0.7125118041
992	0.7125061609
993	0.7124999264
994	0.7124927303
995	0.7124863889
996	0.7124800995
997	0.7124766727
998	0.7124704277
999	0.7124623531
1000	0.7124574841
1001	0.7124534382
1002	0.7124477389
1003	0.7124442147
1004	0.7124383956
1005	0.7124313474
1006	0.7124232745
1007	0.7124172904
1008	0.7124118278
1009	0.7124030732
1010	0.7123977763
1011	0.7123932796
1012	0.7123905341
1013	0.7123875193
1014	0.7123813176
1015	0.7123761061
1016	0.712371508
1017	0.7123659897
1018	0.7123581732
1019	0.7123503458
1020	0.7123438662
1021	0.7123387885
1022	0.7123295106
1023	0.7123267226
1024	0.7123250928
1025	0.7123185066
1026	0.7123119109
1027	0.7123021872
1028	0.7122947604
1029	0.7122885216
1030	0.7122802781
1031	0.7122747099
1032	0.7122703937
1033	0.7122656052
1034	0.7122587731
1035	0.7122554896
1036	0.7122494268
1037	0.7122437141
1038	0.7122357367
1039	0.7122287053
1040	0.7122226339
1041	0.7122185757
1042	0.7122101489
1043	0.7122056184
1044	0.712200329
1045	0.7121966293
1046	0.7121895773
1047	0.7121843781
1048	0.7121758794
1049	0.7121710768
1050	0.7121653001
1051	0.7121624149
1052	0.7121547104
1053	0.712145189
1054	0.7121386416
1055	0.7121310184
1056	0.712126469
1057	0.7121200387
1058	0.7121126953
1059	0.7121070816
1060	0.7121008903
1061	0.7120941506
1062	0.7120881285
1063	0.7120843521
1064	0.7120768493
1065	0.7120741915
1066	0.7120704416
1067	0.7120634108
1068	0.7120561352
1069	0.712051674
1070	0.7120446586
1071	0.7120389248
1072	0.7120322854
1073	0.7120240359
1074	0.7120179158
1075	0.712012271
1076	0.7120046453
1077	0.7119999305
1078	0.7119943299
1079	0.7119877667
1080	0.7119801574
1081	0.711977906
1082	0.7119713292
1083	0.7119664058
1084	0.7119615412
1085	0.7119561609
1086	0.7119532297
1087	0.7119480938
1088	0.711945202
1089	0.7119413829
1090	0.7119350397
1091	0.7119305897
1092	0.7119224365
1093	0.7119150453
1094	0.7119077307
1095	0.7119025305
1096	0.7118977101
1097	0.7118896201
1098	0.7118820445
1099	0.7118718522
1100	0.7118640641
1101	0.7118602071
1102	0.7118572669
1103	0.7118507081
1104	0.7118411608
1105	0.7118324479
1106	0.7118284983
1107	0.7118263429
1108	0.7118175778
1109	0.7118112446
1110	0.7118040712
1111	0.7117929287
1112	0.7117872002
1113	0.7117795074
1114	0.7117700179
1115	0.7117658771
1116	0.7117617437
1117	0.711756778
1118	0.71175467
1119	0.7117479693
1120	0.7117430618
1121	0.7117351866
1122	0.711728048
1123	0.7117224556
1124	0.7117182661
1125	0.7117152572
1126	0.7117069498
1127	0.7117000657
1128	0.7116937591
1129	0.711689692
1130	0.7116800349
1131	0.7116743208
1132	0.7116710653
1133	0.7116675782
1134	0.711661345
1135	0.7116580043
1136	0.7116526492
1137	0.711646054
1138	0.7116430149
1139	0.7116352662
1140	0.7116320396
1141	0.7116263386
1142	0.7116231271
1143	0.7116163641
1144	0.7116054973
1145	0.7115981833
1146	0.711593899
1147	0.7115912761
1148	0.7115827859
1149	0.7115798265
1150	0.7115758531
1151	0.711569039
1152	0.7115630297
1153	0.7115582525
1154	0.7115553267
1155	0.7115502156
1156	0.7115412292
1157	0.711537201
1158	0.7115332472
1159	0.7115270998
1160	0.7115192158
1161	0.7115135444
1162	0.7115087114
1163	0.7115035013
1164	0.7114967811
1165	0.7114925629
1166	0.7114873889
1167	0.711479044
1168	0.7114727199
1169	0.7114691617
1170	0.7114647309
1171	0.7114547595
1172	0.7114504565
1173	0.711441972
1174	0.7114341212
1175	0.711430822
1176	0.7114248635
1177	0.7114220445
1178	0.7114183787
1179	0.7114116876
1180	0.7114015011
1181	0.7113974874
1182	0.7113913464
1183	0.7113846998
1184	0.7113735637
1185	0.711366421
1186	0.7113611978
1187	0.711356915
1188	0.7113511143
1189	0.7113463909
1190	0.7113407806
1191	0.7113365269
1192	0.7113294604
1193	0.711324511
1194	0.7113188577
1195	0.7113155235
1196	0.7113104461
1197	0.7113051411
1198	0.7113001587
1199	0.7112947277
1200	0.7112876769
1201	0.711284801
1202	0.7112811444
1203	0.7112763168
1204	0.7112708994
1205	0.7112690875
1206	0.711259107
1207	0.7112514898
1208	0.7112485435
1209	0.7112407402
1210	0.7112353143
1211	0.7112309108
1212	0.7112232992
1213	0.7112161696
1214	0.7112112705
1215	0.7112080925
1216	0.7112044125
1217	0.7111991216
1218	0.7111943191
1219	0.7111912482
1220	0.7111871766
1221	0.7111803149
1222	0.7111725068
1223	0.7111689396
1224	0.7111665638
1225	0.7111644319
1226	0.7111558013
1227	0.711148788
1228	0.7111421508
1229	0.7111383673
1230	0.7111333718
1231	0.7111271582
1232	0.7111215788
1233	0.7111138822
1234	0.7111112414
1235	0.7111082299
1236	0.7111010517
1237	0.7110992519
1238	0.7110921047
1239	0.7110898942
1240	0.7110841711
1241	0.7110764548
1242	0.7110675818
1243	0.7110635558
1244	0.7110566724
1245	0.7110495736
1246	0.7110467626
1247	0.7110416649
1248	0.7110364788
1249	0.7110298364
1250	0.7110202047
1251	0.7110140814
1252	0.7110099403
1253	0.71100314
1254	0.7109994643
1255	0.7109960042
1256	0.7109917003
1257	0.7109886256
1258	0.7109810989
1259	0.7109758817
1260	0.710969268
1261	0.7109635487
1262	0.7109583349
1263	0.7109534134
1264	0.7109469089
1265	0.7109406073
1266	0.7109328948
1267	0.7109288017
1268	0.7109255742
1269	0.7109195505
1270	0.7109140871
1271	0.7109070541
1272	0.7109025568
1273	0.7108987619
1274	0.7108938337
1275	0.7108875393
1276	0.7108847915
1277	0.7108785637
1278	0.7108755692
1279	0.7108673841
1280	0.7108618947
1281	0.7108574005
1282	0.7108532354
1283	0.7108443558
1284	0.7108414536
1285	0.7108358819
1286	0.7108320305
1287	0.7108235316
1288	0.7108192502
1289	0.7108153342
1290	0.7108084546
1291	0.7108052379
1292	0.7107969689
1293	0.7107890443
1294	0.7107855089
1295	0.7107796337
1296	0.7107729064
1297	0.7107660796
1298	0.7107598485
1299	0.7107514563
1300	0.7107466063
1301	0.7107360663
1302	0.7107270054
1303	0.710720378
1304	0.7107155889
1305	0.7107130455
1306	0.7107067191
1307	0.7107018245
1308	0.7106972599
1309	0.7106918042
1310	0.7106859586
1311	0.710681822
1312	0.7106725829
1313	0.710666484
1314	0.7106615942
1315	0.7106581014
1316	0.7106527349
1317	0.7106481581
1318	0.7106428671
1319	0.7106364515
1320	0.7106310514
1321	0.7106276512
1322	0.71062006
1323	0.7106156273
1324	0.710607952
1325	0.7106017465
1326	0.7105985449
1327	0.7105940945
1328	0.7105867043
1329	0.7105789911
1330	0.7105720519
1331	0.7105693275
1332	0.7105616528
1333	0.7105540176
1334	0.7105481299
1335	0.7105438151
1336	0.710540326
1337	0.7105327946
1338	0.7105276322
1339	0.7105195397
1340	0.7105147149
1341	0.7105112157
1342	0.7105049358
1343	0.7104968518
1344	0.7104869705
1345	0.7104814258
1346	0.7104732409
1347	0.7104663105
1348	0.7104635417
1349	0.7104594634
1350	0.7104570744
1351	0.7104518947
1352	0.7104447257
1353	0.7104390857
1354	0.7104335039
1355	0.7104296602
1356	0.7104252054
1357	0.7104205817
1358	0.7104132822
1359	0.7104098591
1360	0.7104052496
1361	0.7103988382
1362	0.7103934573
1363	0.7103893952
1364	0.7103863149
1365	0.7103838243
1366	0.7103756399
1367	0.7103703331
1368	0.7103634907
1369	0.7103568485
1370	0.7103531981
1371	0.7103501737
1372	0.7103478808
1373	0.710338664
1374	0.7103346963
1375	0.7103291815
1376	0.7103241041
1377	0.7103192168
1378	0.7103111863
1379	0.7103074662
1380	0.710302541
1381	0.710299277
1382	0.7102908005
1383	0.7102843899
1384	0.7102782075
1385	0.7102729674
1386	0.7102685798
1387	0.710265642
1388	0.7102597987
1389	0.7102545903
1390	0.710248147
1391	0.7102442678
1392	0.7102366598
1393	0.7102280571
1394	0.710219502
1395	0.71021449
1396	0.7102091806
1397	0.710205077
1398	0.7102021025
1399	0.7101998815
1400	0.7101955735
1401	0.7101900339
1402	0.710183733
1403	0.7101777154
1404	0.7101696915
1405	0.7101669871
1406	0.7101603001
1407	0.7101524058
1408	0.7101469331
1409	0.7101433943
1410	0.7101369605
1411	0.7101285488
1412	0.7101216811
1413	0.7101170313
1414	0.710111788
1415	0.7101076491
1416	0.7101020594
1417	0.7100977399
1418	0.7100948383
1419	0.7100878493
1420	0.7100810566
1421	0.7100752196
1422	0.7100703121
1423	0.7100660539
1424	0.7100610447
1425	0.7100551012
1426	0.7100491375
1427	0.7100441347
1428	0.7100375438
1429	0.7100350367
1430	0.7100312456
1431	0.7100273755
1432	0.7100238476
1433	0.7100179685
1434	0.7100131402
1435	0.7100100909
1436	0.710005154
1437	0.7100014484
1438	0.709993656
1439	0.709989466
1440	0.709983479
1441	0.7099803678
1442	0.7099744269
1443	0.7099688321
1444	0.7099652317
