iter	Passed	Remaining
1279	46748	11687
1280	46785	11650
1281	46821	11614
1282	46858	11577
1283	46893	11540
1284	46928	11503
1285	46964	11467
1286	46998	11430
1287	47032	11393
1288	47070	11356
1289	47106	11320
1290	47142	11283
1291	47183	11248
1292	47226	11213
1293	47266	11177
1294	47306	11141
1295	47345	11105
1296	47384	11069
1297	47423	11033
1298	47464	10998
1299	47506	10963
1300	47547	10927
1301	47584	10891
1302	47618	10853
1303	47652	10816
1304	47689	10780
1305	47728	10744
1306	47765	10707
1307	47802	10671
1308	47842	10635
1309	47886	10600
1310	47923	10564
1311	47959	10527
1312	47995	10490
1313	48031	10454
1314	48067	10417
1315	48109	10382
1316	48148	10346
1317	48186	10310
1318	48224	10273
1319	48262	10237
1320	48298	10200
1321	48334	10164
1322	48374	10128
1323	48410	10091
1324	48449	10055
1325	48482	10018
1326	48518	9981
1327	48557	9945
1328	48595	9909
1329	48637	9873
1330	48683	9839
1331	48720	9802
1332	48754	9765
1333	48788	9728
1334	48824	9691
1335	48861	9655
1336	48900	9619
1337	48935	9582
1338	48969	9545
1339	49007	9508
1340	49044	9472
1341	49081	9435
1342	49116	9399
1343	49157	9363
1344	49200	9328
1345	49240	9292
1346	49284	9256
1347	49328	9221
1348	49371	9186
1349	49412	9150
1350	49456	9115
1351	49500	9080
1352	49543	9044
1353	49588	9009
1354	49632	8974
1355	49673	8938
1356	49711	8901
1357	49757	8866
1358	49801	8831
1359	49844	8796
1360	49889	8760
1361	49936	8726
1362	49984	8691
1363	50030	8656
1364	50075	8621
1365	50126	8586
1366	50170	8551
1367	50218	8516
1368	50264	8481
1369	50309	8446
1370	50356	8411
1371	50399	8375
1372	50443	8339
1373	50488	8304
1374	50533	8269
1375	50577	8233
1376	50622	8198
1377	50667	8162
1378	50710	8126
1379	50757	8091
1380	50800	8056
1381	50840	8019
1382	50883	7983
1383	50931	7948
1384	50974	7913
1385	51018	7877
1386	51058	7840
1387	51098	7804
1388	51142	7768
1389	51181	7732
1390	51221	7696
1391	51269	7660
1392	51311	7624
1393	51346	7587
1394	51385	7551
1395	51425	7514
1396	51462	7478
1397	51499	7441
1398	51537	7404
1399	51579	7368
1400	51619	7332
1401	51662	7296
1402	51700	7259
1403	51739	7222
1404	51782	7186
1405	51823	7150
1406	51868	7114
1407	51913	7079
1408	51958	7043
1409	51998	7006
1410	52040	6970
1411	52081	6934
1412	52131	6899
1413	52175	6863
1414	52219	6827
1415	52259	6790
1416	52300	6754
1417	52340	6717
1418	52381	6681
1419	52419	6644
1420	52477	6610
1421	52523	6574
1422	52564	6538
1423	52607	6502
1424	52658	6466
1425	52697	6430
1426	52736	6393
1427	52797	6359
1428	52852	6324
1429	52955	6295
1430	53189	6281
1431	53327	6256
1432	53558	6241
1433	53661	6211
1434	53722	6177
1435	53788	6142
1436	53857	6109
1437	53904	6072
1438	53954	6036
1439	53997	5999
1440	54044	5963
1441	54084	5926
1442	54124	5888
1443	54173	5852
1444	54216	5815
1445	54261	5778
1446	54310	5742
1447	54367	5707
1448	54413	5670
1449	54453	5633
1450	54495	5595
1451	54548	5560
1452	54670	5530
1453	54712	5493
1454	54759	5457
1455	54797	5419
1456	54856	5383
1457	54907	5347
1458	54943	5309
1459	54982	5272
1460	55032	5235
1461	55085	5199
1462	55136	5163
1463	55186	5126
1464	55280	5094
1465	55363	5060
1466	55444	5026
1467	55496	4990
1468	55538	4952
1469	55577	4915
1470	55621	4877
1471	55674	4841
1472	55714	4803
1473	55754	4766
1474	55807	4729
1475	55855	4692
1476	55906	4655
1477	55954	4618
1478	56002	4581
1479	56050	4544
1480	56090	4506
1481	56131	4469
1482	56169	4431
1483	56210	4393
1484	56250	4356
1485	56288	4318
1486	56325	4280
1487	56364	4242
1488	56402	4204
1489	56438	4166
1490	56477	4128
1491	56512	4090
1492	56548	4052
1493	56585	4014
1494	56621	3976
1495	56659	3938
1496	56699	3901
1497	56741	3863
1498	56780	3825
1499	56819	3787
1500	56857	3750
1501	56914	3713
1502	56954	3675
1503	56994	3637
1504	57035	3600
1505	57071	3562
1506	57110	3524
1507	57144	3486
1508	57181	3448
1509	57219	3410
1510	57262	3372
