iter	RMSE
1069	0.7093869035
1070	0.7093684792
1071	0.709356288
1072	0.7093435882
1073	0.7093214878
1074	0.7093023913
1075	0.7092847081
1076	0.7092610468
1077	0.7092390669
1078	0.7092145771
1079	0.709197706
1080	0.7091793969
1081	0.7091588202
1082	0.7091345355
1083	0.709120901
1084	0.709107819
1085	0.7090895498
1086	0.7090710894
1087	0.7090513514
1088	0.7090381691
1089	0.7090242
1090	0.7090045375
1091	0.7089770698
1092	0.7089621985
1093	0.708941524
1094	0.7089227423
1095	0.7089082878
1096	0.7088855624
1097	0.7088723899
1098	0.708848807
1099	0.7088259663
1100	0.708807796
1101	0.7087811129
1102	0.7087678051
1103	0.7087526106
1104	0.7087296889
1105	0.7087094904
1106	0.7086783026
1107	0.7086582012
1108	0.7086390765
1109	0.7086242052
1110	0.7086074651
1111	0.7085898838
1112	0.7085698634
1113	0.7085492999
1114	0.708531062
1115	0.708506614
1116	0.7084929509
1117	0.70847158
1118	0.7084568622
1119	0.7084354677
1120	0.7084201362
1121	0.7084038396
1122	0.7083760014
1123	0.7083641091
1124	0.7083423929
1125	0.7083280204
1126	0.7083075439
1127	0.7082857114
1128	0.7082726435
1129	0.7082602655
1130	0.7082424925
1131	0.7082232151
1132	0.70820906
1133	0.7081884053
1134	0.7081738909
1135	0.7081560715
1136	0.708129773
1137	0.7081157247
1138	0.7080966589
1139	0.7080699294
1140	0.7080509605
1141	0.7080300971
1142	0.7080120193
1143	0.7079909296
1144	0.707970197
1145	0.7079473741
1146	0.7079248686
1147	0.7079082554
1148	0.7078822404
1149	0.7078691074
1150	0.7078562384
1151	0.70784017
1152	0.7078188686
1153	0.7077977019
1154	0.7077767023
1155	0.7077536613
1156	0.7077331519
1157	0.7077117103
1158	0.7076994013
1159	0.707681575
1160	0.7076689541
1161	0.7076474889
1162	0.7076242754
1163	0.7076062988
1164	0.7075912669
1165	0.7075744908
1166	0.7075603832
1167	0.7075408541
1168	0.7075295803
1169	0.707508033
1170	0.7074873167
1171	0.7074665231
1172	0.7074558017
1173	0.707432924
1174	0.707410191
1175	0.7073891693
1176	0.7073750063
1177	0.7073526361
1178	0.7073346508
1179	0.7073122038
1180	0.7072937333
1181	0.7072688574
1182	0.7072501505
1183	0.7072326363
1184	0.7072180267
1185	0.7072013485
1186	0.7071827686
1187	0.7071644756
1188	0.7071436373
1189	0.7071217139
1190	0.7070959757
1191	0.7070756893
1192	0.7070632314
1193	0.707045539
1194	0.7070302601
1195	0.7070132157
1196	0.7069989505
1197	0.7069793431
1198	0.7069663905
1199	0.7069498941
1200	0.7069343495
1201	0.7069121197
1202	0.706895841
1203	0.7068706748
1204	0.7068559718
1205	0.7068390897
1206	0.7068177511
1207	0.7067946985
1208	0.7067832589
1209	0.7067650956
1210	0.7067484931
1211	0.7067359002
1212	0.7067095408
1213	0.7066881363
1214	0.7066683051
1215	0.7066517975
1216	0.7066356846
1217	0.7066206244
1218	0.7066006346
1219	0.706583035
1220	0.7065602836
1221	0.7065403192
1222	0.7065162375
1223	0.7064905506
1224	0.706466932
1225	0.7064472549
1226	0.7064262291
1227	0.7064107264
1228	0.7063981673
1229	0.7063739977
1230	0.7063534645
1231	0.7063375981
1232	0.7063216181
1233	0.7062990274
1234	0.7062805073
1235	0.706260008
1236	0.7062385173
1237	0.7062230037
1238	0.7062021191
1239	0.706181765
1240	0.7061587669
1241	0.7061393958
1242	0.7061242194
1243	0.7061095708
1244	0.7060939013
1245	0.7060722326
1246	0.7060488149
1247	0.7060337104
1248	0.7060089553
1249	0.7059835321
1250	0.7059711773
1251	0.7059597747
1252	0.7059420251
1253	0.7059202736
1254	0.7059017074
1255	0.7058914265
1256	0.7058709028
1257	0.7058487645
1258	0.7058250215
1259	0.7058044865
1260	0.7057834035
1261	0.7057660955
1262	0.7057542807
1263	0.7057381396
1264	0.7057237065
1265	0.7057041672
1266	0.705683194
1267	0.7056658469
1268	0.7056447462
1269	0.7056319868
1270	0.705618786
1271	0.7056014583
1272	0.7055911197
1273	0.7055719226
1274	0.7055567775
1275	0.7055457111
1276	0.7055204113
1277	0.7054975317
1278	0.7054803278
1279	0.7054607828
1280	0.7054435988
1281	0.7054255923
1282	0.705406869
1283	0.7053920313
1284	0.7053788953
1285	0.7053624861
1286	0.7053526583
1287	0.7053374891
1288	0.7053252918
1289	0.7053141294
1290	0.7052999863
1291	0.7052766572
1292	0.7052627323
1293	0.7052463799
1294	0.7052222375
1295	0.7052060396
1296	0.7051930724
1297	0.7051708117
1298	0.7051526116
1299	0.7051317911
1300	0.7051105588
1301	0.705089972
1302	0.7050763289
1303	0.7050641538
1304	0.7050445975
1305	0.705023474
1306	0.7050040662
1307	0.7049840899
1308	0.7049692524
1309	0.7049503778
1310	0.7049298877
1311	0.7049156109
1312	0.7048989195
1313	0.7048782413
1314	0.7048617988
1315	0.7048412758
1316	0.7048251353
1317	0.7048057252
1318	0.7047878054
1319	0.7047661061
1320	0.7047497966
1321	0.7047375568
1322	0.70471828
1323	0.7046996385
1324	0.7046798403
1325	0.7046639499
1326	0.704645852
1327	0.7046250056
1328	0.7046051548
1329	0.7045938679
1330	0.7045778322
1331	0.7045570805
1332	0.7045448743
1333	0.7045287386
1334	0.7045108476
1335	0.7044968979
1336	0.7044807814
1337	0.7044666953
1338	0.7044550828
1339	0.7044315402
1340	0.7044149029
1341	0.7043907349
1342	0.7043701183
1343	0.7043479913
1344	0.7043270096
1345	0.7043034216
1346	0.7042899422
1347	0.7042705795
1348	0.7042557096
1349	0.7042390934
1350	0.7042211641
1351	0.7042093025
1352	0.7041876735
1353	0.7041634684
1354	0.7041540252
1355	0.7041336488
1356	0.7041208284
1357	0.7041029064
1358	0.7040799467
1359	0.7040615401
1360	0.7040388442
1361	0.7040176555
1362	0.7039955647
1363	0.7039745084
1364	0.7039504254
1365	0.7039282347
